repository,file_name,file_path,file_extension,line_count,character_count,source_code,commit_count,total_files_changed,total_insertions,total_deletions,total_lines_changed,unique_authors
        ""--sw"",
        ""--stepwise"",
        action=""store_true"",
        default=False,
        dest=""stepwise"",
        help=""Exit on test failure and continue from last failing test next time"",
    )
    group.addoption(
        ""--sw-skip"",
        ""--stepwise-skip"",
        action=""store_true"",
        default=False,
        dest=""stepwise_skip"",
        help=""Ignore the first failing test but stop on the next failing test. ""
        ""Implicitly enables --stepwise."",
    )
    group.addoption(
        ""--sw-reset"",
        ""--stepwise-reset"",
        action=""store_true"",
        default=False,
        dest=""stepwise_reset"",
        help=""Resets stepwise state, restarting the stepwise workflow. ""
        ""Implicitly enables --stepwise."",
    )


def pytest_configure(config: Config) -> None:
    # --stepwise-skip/--stepwise-reset implies stepwise.
    if config.option.stepwise_skip or config.option.stepwise_reset:
        config.option.stepwise = True
    if config.getoption(""stepwise""):
        config.pluginmanager.register(StepwisePlugin(config), ""stepwiseplugin"")


def pytest_sessionfinish(session: Session) -> None:
    if not session.config.getoption(""stepwise""):
        assert session.config.cache is not None
        if hasattr(session.config, ""workerinput""):
            # Do not update cache if this process is a xdist worker to prevent
            # race conditions (#10641).
            return


@dataclasses.dataclass
class StepwiseCacheInfo:
    # The nodeid of the last failed test.
    last_failed: NodeId | None

    # The number of tests in the last time --stepwise was run.
    # We use this information as a simple way to invalidate the cache information, avoiding
    # confusing behavior in case the cache is stale.
    last_test_count: int | None

    # The date when the cache was last updated, for information purposes only.
    last_cache_date_str: str

    @property
    def last_cache_date(self) -> datetime:
        return datetime.fromisoformat(self.last_cache_date_str)

    @classmethod
    def empty(cls) -> Self:
        return cls(
            last_failed=None,
            last_test_count=None,
            last_cache_date_str=datetime.now().isoformat(),
        )

    def update_date_to_now(self) -> None:
        self.last_cache_date_str = datetime.now().isoformat()


class StepwisePlugin:
    def __init__(self, config: Config) -> None:
        self.config = config
        self.session: Session | None = None
        self.report_status: list[str] = []
        assert config.cache is not None
        self.cache: Cache = config.cache
        self.skip: bool = config.getoption(""stepwise_skip"")
        self.reset: bool = config.getoption(""stepwise_reset"")
        self.cached_info = self._load_cached_info()

    def _load_cached_info(self) -> StepwiseCacheInfo:
        cached_dict: dict[str, Any] | None = self.cache.get(STEPWISE_CACHE_DIR, None)
        if cached_dict:
            try:
                last_failed: str | None = cached_dict[""last_failed""]
                return StepwiseCacheInfo(
                    NodeId.parse(last_failed) if last_failed is not None else None,
                    cached_dict[""last_test_count""],
                    cached_dict[""last_cache_date_str""],
                )
            except (KeyError, TypeError) as e:
                error = f""{type(e).__name__}: {e}""
                self.report_status.append(f""error reading cache, discarding ({error})"")

        # Cache not found or error during load, return a new cache.
        return StepwiseCacheInfo.empty()

    def pytest_sessionstart(self, session: Session) -> None:
        self.session = session

    def pytest_collection_modifyitems(
        self, config: Config, items: list[nodes.Item]
    ) -> None:
        last_test_count = self.cached_info.last_test_count
        self.cached_info.last_test_count = len(items)

        if self.reset:
            self.report_status.append(""resetting state, not skipping."")
            self.cached_info.last_failed = None
            return

        if not self.cached_info.last_failed:
            self.report_status.append(""no previously failed tests, not skipping."")
            return

        if last_test_count is not None and last_test_count != len(items):
            self.report_status.append(
                f""test count changed, not skipping (now {len(items)} tests, previously {last_test_count}).""
            )
            self.cached_info.last_failed = None
            return

        # Check all item nodes until we find a match on last failed.
        failed_index = None
        for index, item in enumerate(items):
            if item.id == self.cached_info.last_failed:
                failed_index = index
                break

        # If the previously failed test was not found among the test items,
        # do not skip any tests.
        if failed_index is None:
            self.report_status.append(""previously failed test not found, not skipping."")
        else:
            cache_age = datetime.now() - self.cached_info.last_cache_date
            # Round up to avoid showing microseconds.
            cache_age = timedelta(seconds=int(cache_age.total_seconds()))
            self.report_status.append(
                f""skipping {failed_index} already passed items (cache from {cache_age} ago,""
                f"" use --sw-reset to discard).""
            )
            deselected = items[:failed_index]
            del items[:failed_index]
            config.hook.pytest_deselected(items=deselected)

    def pytest_runtest_logreport(self, report: TestReport) -> None:
        if report.failed:
            if self.skip:
                # Remove test from the failed ones (if it exists) and unset the skip option
                # to make sure the following tests will not be skipped.
                if report.id == self.cached_info.last_failed:
                    self.cached_info.last_failed = None

                self.skip = False
            else:
                # Mark test as the last failing and interrupt the test session.
                self.cached_info.last_failed = report.id
                assert self.session is not None
                self.session.shouldstop = (
                    ""Test failed, continuing from this test next run.""
                )

        else:
            # If the test was actually run and did pass.
            if report.when == ""call"":
                # Remove test from the failed ones, if exists.
                if report.id == self.cached_info.last_failed:
                    self.cached_info.last_failed = None

    def pytest_report_collectionfinish(self) -> list[str] | None:
        if self.config.get_verbosity() >= 0 and self.report_status:
            return [f""stepwise: {x}"" for x in self.report_status]
        return None

    def pytest_sessionfinish(self) -> None:
        if hasattr(self.config, ""workerinput""):
            # Do not update cache if this process is a xdist worker to prevent
            # race conditions (#10641).
            return
        self.cached_info.update_date_to_now()
        last_failed = self.cached_info.last_failed
        self.cache.set(
            STEPWISE_CACHE_DIR,
            {
                ""last_failed"": str(last_failed) if last_failed is not None else None,
                ""last_test_count"": self.cached_info.last_test_count,
                ""last_cache_date_str"": self.cached_info.last_cache_date_str,
            },
        )
",17773,80631,1553431,1121088,2674519,1172
pytest,timing.py,src/_pytest/timing.py,.py,97,3196,"""""""Indirection for time functions.

We intentionally grab some ""time"" functions internally to avoid tests mocking ""time"" to affect
pytest runtime information (issue #185).

Fixture ""mock_timing"" also interacts with this module for pytest's own tests.
""""""

from __future__ import annotations

import dataclasses
from datetime import datetime
from datetime import timezone
from time import perf_counter
from time import sleep
from time import time
from typing import TYPE_CHECKING


if TYPE_CHECKING:
    from pytest import MonkeyPatch


@dataclasses.dataclass(frozen=True)
class Instant:
    """"""
    Represents an instant in time, used to both get the timestamp value and to measure
    the duration of a time span.

    Inspired by Rust's `std::time::Instant`.
    """"""

    # Creation time of this instant, using time.time(), to measure actual time.
    # Note: using a `lambda` to correctly get the mocked time via `MockTiming`.
    # pylint: disable-next=lambda-assignment
    time: float = dataclasses.field(default_factory=lambda: time(), init=False)  # noqa: PLW0108

    # Performance counter tick of the instant, used to measure precise elapsed time.
    # Note: using a `lambda` to correctly get the mocked time via `MockTiming`.
    perf_count: float = dataclasses.field(
        default_factory=lambda: perf_counter(),  # noqa: PLW0108
        init=False,
    )

    def elapsed(self) -> Duration:
        """"""Measure the duration since `Instant` was created.""""""
        return Duration(start=self, stop=Instant())

    def as_utc(self) -> datetime:
        """"""Instant as UTC datetime.""""""
        return datetime.fromtimestamp(self.time, timezone.utc)


@dataclasses.dataclass(frozen=True)
class Duration:
    """"""A span of time as measured by `Instant.elapsed()`.""""""

    start: Instant
    stop: Instant

    @property
    def seconds(self) -> float:
        """"""Elapsed time of the duration in seconds, measured using a performance counter for precise timing.""""""
        return self.stop.perf_count - self.start.perf_count


@dataclasses.dataclass
class MockTiming:
    """"""Mocks _pytest.timing with a known object that can be used to control timing in tests
    deterministically.

    pytest itself should always use functions from `_pytest.timing` instead of `time` directly.

    This then allows us more control over time during testing, if testing code also
    uses `_pytest.timing` functions.

    Time is static, and only advances through `sleep` calls, thus tests might sleep over large
    numbers and obtain accurate time() calls at the end, making tests reliable and instant.""""""

    _current_time: float = datetime(2020, 5, 22, 14, 20, 50).timestamp()

    def sleep(self, seconds: float) -> None:
        self._current_time += seconds

    def time(self) -> float:
        return self._current_time

    def patch(self, monkeypatch: MonkeyPatch) -> None:
        # pylint: disable-next=import-self
        from _pytest import timing  # noqa: PLW0406

        monkeypatch.setattr(timing, ""sleep"", self.sleep)
        monkeypatch.setattr(timing, ""time"", self.time)
        monkeypatch.setattr(timing, ""perf_counter"", self.time)


__all__ = [""perf_counter"", ""sleep"", ""time""]
",17773,80631,1553431,1121088,2674519,1172
pytest,legacypath.py,src/_pytest/legacypath.py,.py,471,16833,"# mypy: allow-untyped-defs
""""""Add backward compatibility support for the legacy py path type.""""""

from __future__ import annotations

import dataclasses
from pathlib import Path
import shlex
import subprocess
from typing import Final
from typing import final
from typing import TYPE_CHECKING

from iniconfig import SectionWrapper

from _pytest.cacheprovider import Cache
from _pytest.compat import LEGACY_PATH
from _pytest.compat import legacy_path
from _pytest.config import Config
from _pytest.config import hookimpl
from _pytest.config import PytestPluginManager
from _pytest.deprecated import check_ispytest
from _pytest.fixtures import fixture
from _pytest.fixtures import FixtureRequest
from _pytest.main import Session
from _pytest.monkeypatch import MonkeyPatch
from _pytest.nodes import Collector
from _pytest.nodes import Item
from _pytest.nodes import Node
from _pytest.pytester import HookRecorder
from _pytest.pytester import Pytester
from _pytest.pytester import RunResult
from _pytest.terminal import TerminalReporter
from _pytest.tmpdir import TempPathFactory


if TYPE_CHECKING:
    import pexpect


@final
class Testdir:
    """"""
    Similar to :class:`Pytester`, but this class works with legacy legacy_path objects instead.

    All methods just forward to an internal :class:`Pytester` instance, converting results
    to `legacy_path` objects as necessary.
    """"""

    __test__ = False

    CLOSE_STDIN: Final = Pytester.CLOSE_STDIN
    TimeoutExpired: Final = Pytester.TimeoutExpired

    def __init__(self, pytester: Pytester, *, _ispytest: bool = False) -> None:
        check_ispytest(_ispytest)
        self._pytester = pytester

    @property
    def tmpdir(self) -> LEGACY_PATH:
        """"""Temporary directory where tests are executed.""""""
        return legacy_path(self._pytester.path)

    @property
    def test_tmproot(self) -> LEGACY_PATH:
        return legacy_path(self._pytester._test_tmproot)

    @property
    def request(self):
        return self._pytester._request

    @property
    def plugins(self):
        return self._pytester.plugins

    @plugins.setter
    def plugins(self, plugins):
        self._pytester.plugins = plugins

    @property
    def monkeypatch(self) -> MonkeyPatch:
        return self._pytester._monkeypatch

    def make_hook_recorder(self, pluginmanager) -> HookRecorder:
        """"""See :meth:`Pytester.make_hook_recorder`.""""""
        return self._pytester.make_hook_recorder(pluginmanager)

    def chdir(self) -> None:
        """"""See :meth:`Pytester.chdir`.""""""
        return self._pytester.chdir()

    def finalize(self) -> None:
        return self._pytester._finalize()

    def makefile(self, ext, *args, **kwargs) -> LEGACY_PATH:
        """"""See :meth:`Pytester.makefile`.""""""
        if ext and not ext.startswith("".""):
            # pytester.makefile is going to throw a ValueError in a way that
            # testdir.makefile did not, because
            # pathlib.Path is stricter suffixes than py.path
            # This ext arguments is likely user error, but since testdir has
            # allowed this, we will prepend ""."" as a workaround to avoid breaking
            # testdir usage that worked before
            ext = ""."" + ext
        return legacy_path(self._pytester.makefile(ext, *args, **kwargs))

    def makeconftest(self, source) -> LEGACY_PATH:
        """"""See :meth:`Pytester.makeconftest`.""""""
        return legacy_path(self._pytester.makeconftest(source))

    def makeini(self, source) -> LEGACY_PATH:
        """"""See :meth:`Pytester.makeini`.""""""
        return legacy_path(self._pytester.makeini(source))

    def getinicfg(self, source: str) -> SectionWrapper:
        """"""See :meth:`Pytester.getinicfg`.""""""
        return self._pytester.getinicfg(source)

    def makepyprojecttoml(self, source) -> LEGACY_PATH:
        """"""See :meth:`Pytester.makepyprojecttoml`.""""""
        return legacy_path(self._pytester.makepyprojecttoml(source))

    def makepyfile(self, *args, **kwargs) -> LEGACY_PATH:
        """"""See :meth:`Pytester.makepyfile`.""""""
        return legacy_path(self._pytester.makepyfile(*args, **kwargs))

    def maketxtfile(self, *args, **kwargs) -> LEGACY_PATH:
        """"""See :meth:`Pytester.maketxtfile`.""""""
        return legacy_path(self._pytester.maketxtfile(*args, **kwargs))

    def syspathinsert(self, path=None) -> None:
        """"""See :meth:`Pytester.syspathinsert`.""""""
        return self._pytester.syspathinsert(path)

    def mkdir(self, name) -> LEGACY_PATH:
        """"""See :meth:`Pytester.mkdir`.""""""
        return legacy_path(self._pytester.mkdir(name))

    def mkpydir(self, name) -> LEGACY_PATH:
        """"""See :meth:`Pytester.mkpydir`.""""""
        return legacy_path(self._pytester.mkpydir(name))

    def copy_example(self, name=None) -> LEGACY_PATH:
        """"""See :meth:`Pytester.copy_example`.""""""
        return legacy_path(self._pytester.copy_example(name))

    def getnode(self, config: Config, arg) -> Item | Collector | None:
        """"""See :meth:`Pytester.getnode`.""""""
        return self._pytester.getnode(config, arg)

    def getpathnode(self, path):
        """"""See :meth:`Pytester.getpathnode`.""""""
        return self._pytester.getpathnode(path)

    def genitems(self, colitems: list[Item | Collector]) -> list[Item]:
        """"""See :meth:`Pytester.genitems`.""""""
        return self._pytester.genitems(colitems)

    def runitem(self, source):
        """"""See :meth:`Pytester.runitem`.""""""
        return self._pytester.runitem(source)

    def inline_runsource(self, source, *cmdlineargs):
        """"""See :meth:`Pytester.inline_runsource`.""""""
        return self._pytester.inline_runsource(source, *cmdlineargs)

    def inline_genitems(self, *args):
        """"""See :meth:`Pytester.inline_genitems`.""""""
        return self._pytester.inline_genitems(*args)

    def inline_run(self, *args, plugins=(), no_reraise_ctrlc: bool = False):
        """"""See :meth:`Pytester.inline_run`.""""""
        return self._pytester.inline_run(
            *args, plugins=plugins, no_reraise_ctrlc=no_reraise_ctrlc
        )

    def runpytest_inprocess(self, *args, **kwargs) -> RunResult:
        """"""See :meth:`Pytester.runpytest_inprocess`.""""""
        return self._pytester.runpytest_inprocess(*args, **kwargs)

    def runpytest(self, *args, **kwargs) -> RunResult:
        """"""See :meth:`Pytester.runpytest`.""""""
        return self._pytester.runpytest(*args, **kwargs)

    def parseconfig(self, *args) -> Config:
        """"""See :meth:`Pytester.parseconfig`.""""""
        return self._pytester.parseconfig(*args)

    def parseconfigure(self, *args) -> Config:
        """"""See :meth:`Pytester.parseconfigure`.""""""
        return self._pytester.parseconfigure(*args)

    def getitem(self, source, funcname=""test_func""):
        """"""See :meth:`Pytester.getitem`.""""""
        return self._pytester.getitem(source, funcname)

    def getitems(self, source):
        """"""See :meth:`Pytester.getitems`.""""""
        return self._pytester.getitems(source)

    def getmodulecol(self, source, configargs=(), withinit=False):
        """"""See :meth:`Pytester.getmodulecol`.""""""
        return self._pytester.getmodulecol(
            source, configargs=configargs, withinit=withinit
        )

    def collect_by_name(self, modcol: Collector, name: str) -> Item | Collector | None:
        """"""See :meth:`Pytester.collect_by_name`.""""""
        return self._pytester.collect_by_name(modcol, name)

    def popen(
        self,
        cmdargs,
        stdout=subprocess.PIPE,
        stderr=subprocess.PIPE,
        stdin=CLOSE_STDIN,
        **kw,
    ):
        """"""See :meth:`Pytester.popen`.""""""
        return self._pytester.popen(cmdargs, stdout, stderr, stdin, **kw)

    def run(self, *cmdargs, timeout=None, stdin=CLOSE_STDIN) -> RunResult:
        """"""See :meth:`Pytester.run`.""""""
        return self._pytester.run(*cmdargs, timeout=timeout, stdin=stdin)

    def runpython(self, script) -> RunResult:
        """"""See :meth:`Pytester.runpython`.""""""
        return self._pytester.runpython(script)

    def runpython_c(self, command):
        """"""See :meth:`Pytester.runpython_c`.""""""
        return self._pytester.runpython_c(command)

    def runpytest_subprocess(self, *args, timeout=None) -> RunResult:
        """"""See :meth:`Pytester.runpytest_subprocess`.""""""
        return self._pytester.runpytest_subprocess(*args, timeout=timeout)

    def spawn_pytest(self, string: str, expect_timeout: float = 10.0) -> pexpect.spawn:
        """"""See :meth:`Pytester.spawn_pytest`.""""""
        return self._pytester.spawn_pytest(string, expect_timeout=expect_timeout)

    def spawn(self, cmd: str, expect_timeout: float = 10.0) -> pexpect.spawn:
        """"""See :meth:`Pytester.spawn`.""""""
        return self._pytester.spawn(cmd, expect_timeout=expect_timeout)

    def __repr__(self) -> str:
        return f""<Testdir {self.tmpdir!r}>""

    def __str__(self) -> str:
        return str(self.tmpdir)


class LegacyTestdirPlugin:
    @fixture
    @staticmethod
    def testdir(pytester: Pytester) -> Testdir:
        """"""
        Identical to :fixture:`pytester`, and provides an instance whose methods return
        legacy ``LEGACY_PATH`` objects instead when applicable.

        New code should avoid using :fixture:`testdir` in favor of :fixture:`pytester`.
        """"""
        return Testdir(pytester, _ispytest=True)


@final
@dataclasses.dataclass
class TempdirFactory:
    """"""Backward compatibility wrapper that implements ``py.path.local``
    for :class:`TempPathFactory`.

    .. note::
        These days, it is preferred to use ``tmp_path_factory``.

        :ref:`About the tmpdir and tmpdir_factory fixtures<tmpdir and tmpdir_factory>`.

    """"""

    _tmppath_factory: TempPathFactory

    def __init__(
        self, tmppath_factory: TempPathFactory, *, _ispytest: bool = False
    ) -> None:
        check_ispytest(_ispytest)
        self._tmppath_factory = tmppath_factory

    def mktemp(self, basename: str, numbered: bool = True) -> LEGACY_PATH:
        """"""Same as :meth:`TempPathFactory.mktemp`, but returns a ``py.path.local`` object.""""""
        return legacy_path(self._tmppath_factory.mktemp(basename, numbered).resolve())

    def getbasetemp(self) -> LEGACY_PATH:
        """"""Same as :meth:`TempPathFactory.getbasetemp`, but returns a ``py.path.local`` object.""""""
        return legacy_path(self._tmppath_factory.getbasetemp().resolve())


class LegacyTmpdirPlugin:
    @fixture(scope=""session"")
    @staticmethod
    def tmpdir_factory(request: FixtureRequest) -> TempdirFactory:
        """"""Return a :class:`pytest.TempdirFactory` instance for the test session.""""""
        # Set dynamically by pytest_configure().
        return request.config._tmpdirhandler  # type: ignore

    @fixture
    @staticmethod
    def tmpdir(tmp_path: Path) -> LEGACY_PATH:
        """"""Return a temporary directory (as `legacy_path`_ object)
        which is unique to each test function invocation.
        The temporary directory is created as a subdirectory
        of the base temporary directory, with configurable retention,
        as discussed in :ref:`temporary directory location and retention`.

        .. note::
            These days, it is preferred to use ``tmp_path``.

            :ref:`About the tmpdir and tmpdir_factory fixtures<tmpdir and tmpdir_factory>`.

        .. _legacy_path: https://py.readthedocs.io/en/latest/path.html
        """"""
        return legacy_path(tmp_path)


def Cache_makedir(self: Cache, name: str) -> LEGACY_PATH:
    """"""Return a directory path object with the given name.

    Same as :func:`mkdir`, but returns a legacy py path instance.
    """"""
    return legacy_path(self.mkdir(name))


def FixtureRequest_fspath(self: FixtureRequest) -> LEGACY_PATH:
    """"""(deprecated) The file system path of the test module which collected this test.""""""
    return legacy_path(self.path)


def TerminalReporter_startdir(self: TerminalReporter) -> LEGACY_PATH:
    """"""The directory from which pytest was invoked.

    Prefer to use ``startpath`` which is a :class:`pathlib.Path`.

    :type: LEGACY_PATH
    """"""
    return legacy_path(self.startpath)


def Config_invocation_dir(self: Config) -> LEGACY_PATH:
    """"""The directory from which pytest was invoked.

    Prefer to use :attr:`invocation_params.dir <InvocationParams.dir>`,
    which is a :class:`pathlib.Path`.

    :type: LEGACY_PATH
    """"""
    return legacy_path(str(self.invocation_params.dir))


def Config_rootdir(self: Config) -> LEGACY_PATH:
    """"""The path to the :ref:`rootdir <rootdir>`.

    Prefer to use :attr:`rootpath`, which is a :class:`pathlib.Path`.

    :type: LEGACY_PATH
    """"""
    return legacy_path(str(self.rootpath))


def Config_inifile(self: Config) -> LEGACY_PATH | None:
    """"""The path to the :ref:`configfile <configfiles>`.

    Prefer to use :attr:`inipath`, which is a :class:`pathlib.Path`.

    :type: Optional[LEGACY_PATH]
    """"""
    return legacy_path(str(self.inipath)) if self.inipath else None


def Session_startdir(self: Session) -> LEGACY_PATH:
    """"""The path from which pytest was invoked.

    Prefer to use ``startpath`` which is a :class:`pathlib.Path`.

    :type: LEGACY_PATH
    """"""
    return legacy_path(self.startpath)


def Config__getini_unknown_type(self, name: str, type: str, value: str | list[str]):
    if type == ""pathlist"":
        # TODO: This assert is probably not valid in all cases.
        assert self.inipath is not None
        dp = self.inipath.parent
        input_values = shlex.split(value) if isinstance(value, str) else value
        return [legacy_path(str(dp / x)) for x in input_values]
    else:
        raise ValueError(f""unknown configuration type: {type}"", value)


def Node_fspath(self: Node) -> LEGACY_PATH:
    """"""(deprecated) returns a legacy_path copy of self.path""""""
    return legacy_path(self.path)


def Node_fspath_set(self: Node, value: LEGACY_PATH) -> None:
    self.path = Path(value)


@hookimpl(tryfirst=True)
def pytest_load_initial_conftests(early_config: Config) -> None:
    """"""Monkeypatch legacy path attributes in several classes, as early as possible.""""""
    mp = MonkeyPatch()
    early_config.add_cleanup(mp.undo)

    # Add Cache.makedir().
    mp.setattr(Cache, ""makedir"", Cache_makedir, raising=False)

    # Add FixtureRequest.fspath property.
    mp.setattr(FixtureRequest, ""fspath"", property(FixtureRequest_fspath), raising=False)

    # Add TerminalReporter.startdir property.
    mp.setattr(
        TerminalReporter, ""startdir"", property(TerminalReporter_startdir), raising=False
    )

    # Add Config.{invocation_dir,rootdir,inifile} properties.
    mp.setattr(Config, ""invocation_dir"", property(Config_invocation_dir), raising=False)
    mp.setattr(Config, ""rootdir"", property(Config_rootdir), raising=False)
    mp.setattr(Config, ""inifile"", property(Config_inifile), raising=False)

    # Add Session.startdir property.
    mp.setattr(Session, ""startdir"", property(Session_startdir), raising=False)

    # Add pathlist configuration type.
    mp.setattr(Config, ""_getini_unknown_type"", Config__getini_unknown_type)

